raw_name,proposed_normalized_name,verification_status,operational_grouping_allowed,official_evidence_required,remarks
ABD RAJI & CO,ABDUL RAJI & CO,NOT_OFFICIALLY_CONFIRMED,YES_PROVISIONAL,"audit report / engagement letter / tax agent letterhead","Proposed same entity based on abbreviation only. Needs official confirmation before final master data."
ABDUL RAJI & CO,ABDUL RAJI & CO,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Used as current canonical operational name but not yet linked to official firm identifier."
AZMI & CO,AZMI ISMAIL & CO,NOT_OFFICIALLY_CONFIRMED,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Proposed same entity based on tracker pattern. Could be different if official firm name differs."
AZMI ISMAIL & CO,AZMI ISMAIL & CO,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Used as current canonical operational name but not yet linked to official firm identifier."
T.L LIM,T.L.LIM,NOT_OFFICIALLY_CONFIRMED,YES_PROVISIONAL,"audit report / engagement letter / letterhead","Likely typing/spacing variant. Needs official exact firm style."
T.L.LIM,T.L.LIM,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / letterhead","Used as current canonical operational name but exact punctuation should be confirmed."
HALIM & CO,HALIM AHMAD & CO,NOT_OFFICIALLY_CONFIRMED,REVIEW_ONLY,"audit report / engagement letter / firm registration evidence","Do not treat as final same entity until confirmed; name may refer to different firm style."
HALIM AHMAD & CO,HALIM AHMAD & CO,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Used as current canonical operational name but not yet linked to official firm identifier."
BAL AND PARTNERS,BAL & PARTNERS,NOT_OFFICIALLY_CONFIRMED,YES_PROVISIONAL,"audit report / engagement letter / letterhead","Text cleanup only, but exact official name must still be confirmed."
BAL & PARTNERS,BAL & PARTNERS,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Used as current canonical operational name."
AMINI,AMINI,UNRESOLVED_ENTITY,NO,"letterhead / contact person mapping / engagement evidence","May be individual, firm, accountant, internal PIC, or shorthand. Must not be merged blindly."
EZIANA & ASSOCIATE,EZIANA & ASSOCIATE,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Appears as unique entity in tracker."
YUSOF SUFFIAN & CO,YUSOF SUFFIAN & CO,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Appears as unique entity in tracker."
FAIZAL ZAINAL & CO,FAIZAL ZAINAL & CO,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Appears as unique entity in tracker."
ISMAWADEE & CO,ISMAWADEE & CO,CANONICAL_NAME_PENDING_OFFICIAL_ID,YES_PROVISIONAL,"audit report / engagement letter / firm registration evidence","Appears as unique entity in tracker."
