company_name,required_grade,company_grade,grade_status,required_code_ce01,required_code_ce02,ce01_status,ce02_status,stb_status,spkk_status,ppk_expiry,spkk_expiry,stb_expiry,source_ref,agent_status,decision_note
ABAD KENANGA SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2026-08-29,2026-08-29,2026-08-29,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
ADWA REALTY SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2028-08-31,2028-08-31,2028-08-31,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
AJUDAN SETIA SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2028-09-12,2028-09-12,2028-09-12,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
AKANG KASEP SDN BHD,G7,G7,PENDING,YES,YES,NOT_EXTRACTED,NOT_EXTRACTED,MISSING_SOURCE,MISSING_SOURCE,,,SRC-005,INSUFFICIENT_DATA,"CIDB number and license details missing in extracted snippet"
AKRAB SERASI SDN BHD,G7,G7,PASS_WITH_STB_RISK,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,EXPIRED_OR_NEGATIVE_DAY_LEFT,REFERENCE_AVAILABLE,2028-10-10,2028-10-10,2025-09-27,SRC-005,HOLD_STB_REVIEW,"STB date appears expired/negative day left; must verify latest STB"
AMBANG TERBILANG SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2027-02-22,2027-02-22,2027-02-22,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
ANGKA BERNAS SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2027-07-10,2027-07-10,2027-07-10,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; F01 noted G6 in summary but not relevant to CE gate"
ANJALAN JAYA SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2028-07-25,2028-07-25,2028-07-25,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
ANTENA SENSASI SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2026-08-23,2026-08-23,2026-08-23,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
ARMADA KASIH SDN BHD,G7,G6,FAIL_GRADE,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2028-08-22,2028-08-22,2028-08-22,SRC-005,REJECT_MANDATORY_IF_G7_CONFIRMED,"Company grade is G6 in extracted summary; cannot be selected for confirmed G7 gate"
STRIVE EXCELLENCE SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2028-03-11,2028-03-11,2028-03-11,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
TEERAZ NIAGA SDN BHD,G7,G7,PASS,YES,YES,FOUND_IN_CIDB_SUMMARY,FOUND_IN_CIDB_SUMMARY,REFERENCE_AVAILABLE,REFERENCE_AVAILABLE,2028-03-16,2028-03-16,2028-03-16,SRC-005,PENDING_CERTIFICATE_VERIFICATION,"Initial pass by summary; verify certificate copies before final recommendation"
