company_name,tender_case_id,profile_status,license_status,financial_status,experience_status,technical_status,mandatory_result,source_refs,agent_status,decision_note
ABAD KENANGA SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"License summary looks promising but final recommendation blocked until cert copies, financial, experience and technical evidence are verified."
ADWA REALTY SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"License summary looks promising but final recommendation blocked until cert copies, financial, experience and technical evidence are verified."
AJUDAN SETIA SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"License summary looks promising but final recommendation blocked until cert copies, financial, experience and technical evidence are verified."
AKANG KASEP SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_INCOMPLETE,INSUFFICIENT_LICENSE_DATA,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_LICENSE_DATA_GAP,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"CIDB number/license detail not extracted. Company cannot proceed to recommendation until license evidence is located."
AKRAB SERASI SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,HOLD_STB_REVIEW,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_STB_AND_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"STB issue must be resolved. Do not use as recommended company until latest valid STB/evidence confirmed."
AMBANG TERBILANG SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"License summary looks promising but final recommendation blocked until cert copies, financial, experience and technical evidence are verified."
ANGKA BERNAS SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"License summary looks promising; note F01 G6 issue is not used for CE gate unless tender requires F. Final recommendation still blocked by financial/experience/technical evidence."
ARMADA KASIH SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,FAIL_GRADE_G6,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,REJECT_MANDATORY_IF_G7_CONFIRMED,"SRC-005",PRELIMINARY_REJECT,"If tender G7 gate is confirmed, company fails mandatory grade and price must not rescue it."
STRIVE EXCELLENCE SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-007;SRC-008;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"Has commercial/BOQ source in project folder but company readiness still blocked until financial, experience and technical evidence are verified."
TEERAZ NIAGA SDN BHD,RTB_SG_TAWAU_P4,INITIAL_PROFILE_AVAILABLE,PASS_PENDING_CERT_VERIFY,PENDING_FINANCIAL_SOURCE,MISSING_EXPERIENCE_SOURCE,MISSING_TECHNICAL_SOURCE,HOLD_PENDING_EVIDENCE,"SRC-005;SRC-006;SRC-EXPERIENCE-TBD;SRC-TECHNICAL-TBD",NOT_FINAL,"License summary looks promising but final recommendation blocked until cert copies, financial, experience and technical evidence are verified."
