source_file_name,detected_company,destination_category,copied_file_url,status
akrabserasi BAL SHEET.pdf,AKRAB SERASI SDN BHD,FINANCIAL,https://drive.google.com/file/d/1jWu5Sk-kxwdfy1sr4ni78BGExxx0Vx6F,COPIED_TO_STAGING
akrabserasiLEJER.pdf,AKRAB SERASI SDN BHD,FINANCIAL,https://drive.google.com/file/d/1UW6pY9oP7l3bsefqrrGmKsGPUAA3yyTr,COPIED_TO_STAGING
Kenanga Lestari PNL.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,https://drive.google.com/file/d/1LtQNpsu57aEcWjlBde0ZdavUFMLffhkz,COPIED_TO_STAGING
Kenanga Lestari LEJER.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,https://drive.google.com/file/d/1sdcglVYhsuYbUllO8WlooP9eBmBmDdah,COPIED_TO_STAGING
Kenanga Lestari Tax Booklet - 2025 latest.pdf,KENANGA LESTARI SDN BHD,FINANCIAL,https://drive.google.com/file/d/11UGyEdp_ULJpYEn3AXmkHWAhy1dSwwUM,COPIED_TO_STAGING
Lubuk Permata Tax Booklet - 2024.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,https://drive.google.com/file/d/15ReKGVhz7-A0bCmlYSqL3CeXy4TcrnqU,COPIED_TO_STAGING
lubuk permata PNL.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1O6_hyi5GjXfymPqgefFFO_P3NuijrXb1,COPIED_TO_STAGING
lubuk permata BAL SHEET.pdf,LUBUK PERMATA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1CZRr-vJ1eM80rtEQqtYQRQHq7naGkRzo,COPIED_TO_STAGING
rms Tax Booklet - RMS Binajaya 2025.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1kUlR7NzoWKM1ZzYt6Mgaou_-Mz7Am7Hp,COPIED_TO_STAGING
rms PNL.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1I2zj83x3gQRqVdxHEzqow_aInvYGcxIu,COPIED_TO_STAGING
rms lejer.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1HRVvzrERQVROe72Mbv1u7w2VEROLwXZi,COPIED_TO_STAGING
rms bal sheet.pdf,RMS BINA JAYA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1Sa4z3Y5pG9YZjpo6XfMet8Z9d287tQqc,COPIED_TO_STAGING
Smart Masterpiece Tax Booklet - 2025.pdf,SMART MASTERPIECE SDN BHD,FINANCIAL,https://drive.google.com/file/d/1PZ3kZm_cYNTlTPMmqjS5jcbFScCveQ1b,COPIED_TO_STAGING
smartmasterpiece PNL.pdf,SMART MASTERPIECE SDN BHD,FINANCIAL,https://drive.google.com/file/d/11OuccMve_o-aSFG8M1gKKwcggfUgXa5r,COPIED_TO_STAGING
smartmasterpiece BAL SHEET.pdf,SMART MASTERPIECE SDN BHD,FINANCIAL,https://drive.google.com/file/d/189-chR4cnwRbmMODhDkHXrRTaypABIE-,COPIED_TO_STAGING
LFLegacy 2025 Tax Booklet.pdf,LF LEGACY SDN BHD,FINANCIAL,https://drive.google.com/file/d/1yzxYcTy0wOO1XUwUtk1IPpSkKQwb5Qvu,COPIED_TO_STAGING
lflegacyPNL.pdf,LF LEGACY SDN BHD,FINANCIAL,https://drive.google.com/file/d/1ZrNxvDI_DFnEFmcluBw0a_iiqz2YP78d,COPIED_TO_STAGING
lflegacyLejer.pdf,LF LEGACY SDN BHD,FINANCIAL,https://drive.google.com/file/d/1oPenTpbfIfRG_MgF5bI1cue6MO6F1Cmq,COPIED_TO_STAGING
lf legacyBAL SHEET.pdf,LF LEGACY SDN BHD,FINANCIAL,https://drive.google.com/file/d/1GtDiJXE9JJxQsBBADTReivZqakECdtn2,COPIED_TO_STAGING
KilauanSutera2025Tax Booklet.pdf,KILAUAN SUTERA SDN BHD,FINANCIAL,https://drive.google.com/file/d/1G9nfXaK6WjdUAa0ep98457LPwPgLHomW,COPIED_TO_STAGING
bestari anggun BAL SHEET.pdf,BESTARI ANGGUN SDN BHD,FINANCIAL,https://drive.google.com/file/d/1A8ReGjEyTJWZWbAJ9hl1DNDoRD4BuVH_,COPIED_TO_STAGING
Copy of BQ MBSJ - IMZ VICTORY SDN BHD.xlsx,IMZ VICTORY,TENDER_SUBMISSION,https://drive.google.com/file/d/1n0-L8V2AwHdMqpvf2GYZLNlwpYD32_-h,COPIED_TO_STAGING
